TOKEN_ID,TOKEN_NAME,IMAGE,TOKEN_URI,Clothes,Hat,Mouth,Fur,Eyes,Background,Earring
9989,BoredApeYachtClub #9989,ipfs://QmRixhzz7vuF7Lq1h9XrH8rCyL7kGBZRf3i79ArqDmk7eN,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9989,Vietnam Jacket,Faux Hawk,Bored Pizza,Red,Bored,New Punk Blue,
9984,BoredApeYachtClub #9984,ipfs://QmSQ5bUAZdxT3ny6u7kLWmbGUrvfB8u7R9Fz7vWS3YNunS,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9984,,Bayc Flipped Brim,Bored,Cheetah,Hypnotized,Aquamarine,
9969,BoredApeYachtClub #9969,ipfs://QmNvEWSgmQP7qrpo9kxZyzGq95CZcq5sHDmSS8MD27mvF3,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9969,Black T,Seaman's Hat,Bored Cigarette,Dark Brown,Heart,Yellow,
9998,BoredApeYachtClub #9998,ipfs://QmZGe8geLZGaUA892xbVdEqw5NQmAQKkQegBhWSfxLaEQT,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9998,Bayc T Red,,Bored Unshaven Cigarette,Brown,Heart,Yellow,
9980,BoredApeYachtClub #9980,ipfs://QmUV7G2UJmxfxxFfTXkaRExbkWAWgsUkycWqsE9fH58f9Y,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9980,,,Bored Unshaven Party horn,Golden Brown,Heart,Blue,Silver Stud
9983,BoredApeYachtClub #9983,ipfs://QmVwXXwoDGoJ1iqFg51SsvtQLXrMNFiKFy2GxRfPzn1Z91,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9983,Guayabera,Beanie,Bored Unshaven,Gray,Bored,Army Green,
9968,BoredApeYachtClub #9968,ipfs://QmcMTLxwK4SAJuYCaSUfEXQPEhAvsyQXp2X3CquKSmxDAg,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9968,Rainbow Suspenders,,Bored Unshaven,Gray,Bored,Blue,Silver Stud
9994,BoredApeYachtClub #9994,ipfs://QmNVmFNmNU96CuGxZacK3pqRwiKbg1BVZ8j7zVUxj9JYQY,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9994,Striped Tee,Vietnam Era Helmet,Bored Cigarette,Dark Brown,Closed,Army Green,Silver Stud
9977,BoredApeYachtClub #9977,ipfs://QmRtEfaJPNXPrYsqMqj2YC8CjWhTiPgwiRYxCsKffYqX9R,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9977,Leather Jacket,,Jovial,Golden Brown,Blindfold,New Punk Blue,Gold Stud
9972,BoredApeYachtClub #9972,ipfs://QmSGmMwXdBXhdot38pSNg83myPjBNeDxF4vHkvLznm9y2Z,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9972,,Bunny Ears,Rage,Brown,Hypnotized,Aquamarine,
9996,BoredApeYachtClub #9996,ipfs://QmNMjRbzWxPf6eeLC6UiuFecWFmU6Nq18CZutHmD4Gapbm,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9996,Guayabera,,Dumbfounded,Dark Brown,3d,New Punk Blue,Silver Hoop
9966,BoredApeYachtClub #9966,ipfs://QmbsHrhZF7x1mU2XLTXwwDvhn1DidR6wMXoExVRfeCqL1h,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9966,Bayc T Black,Army Hat,Dumbfounded,Pink,Sleepy,Yellow,
9974,BoredApeYachtClub #9974,ipfs://QmXHu7pFhp5sUJi1aajkmsgcFBuSK6y93mWz5czvY8A8hA,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9974,Rainbow Suspenders,Seaman's Hat,Tongue Out,Dark Brown,Eyepatch,Aquamarine,Silver Hoop
9992,BoredApeYachtClub #9992,ipfs://QmPediLJS4nYpf3T1Rtjnge2iawVf58WKjgnfQzkTGCj8g,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9992,Tuxedo Tee,King's Crown,Bored,Cheetah,Bored,Purple,
9999,BoredApeYachtClub #9999,ipfs://QmejYePrutbfWEV8wA3ogTHi2cf2j6hoaPhZSc6vNE43nH,https://ipfs.moralis.io:2053/ipfs/QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9999,,Army Hat,Bored Unshaven,Gray,Scumbag,Purple,Gold Hoop
