TOKEN_ID,TOKEN_NAME,IMAGE,TOKEN_URI,DNA,Hair,Clothing,Jewelry,Mouth,Type,Type,Eye Color,Facial Feature,Eyewear,Accessories,Back,Helmet
18899,CloneX #18899,https://clonex-assets.rtfkt.com/images/18899.png,https://clonex-assets.rtfkt.com/18899,Robot,RD Pigtails,PURP HiTECH Dress,,,,,,,,,,
18898,CloneX #18898,https://clonex-assets.rtfkt.com/images/18898.png,https://clonex-assets.rtfkt.com/18898,Robot,LoneSome Cowboy,WHT BKR JCKT,VVS PANDA,SMILEY RNBW,MK1,MK1,,,,,,
18897,CloneX #18897,https://clonex-assets.rtfkt.com/images/18897.png,https://clonex-assets.rtfkt.com/18897,Human,GRN BNGS,RD BBL Vest,,,,,GRN,333 TAT,,,,
18896,CloneX #18896,https://clonex-assets.rtfkt.com/images/18896.png,https://clonex-assets.rtfkt.com/18896,Robot,BRWN Buns,RFX Tee,CYN CBLE,,MK1,MK1,,,,,,
18895,CloneX #18895,https://clonex-assets.rtfkt.com/images/18895.png,https://clonex-assets.rtfkt.com/18895,Human,BLND BWLCUT,Space PFA JCKT,DRIP CHRM,INFCTD,,,YLLW,SMLY TAT,,,,
18894,CloneX #18894,https://clonex-assets.rtfkt.com/images/18894.png,https://clonex-assets.rtfkt.com/18894,Human,BLU Hacker,BLCK Tee,S-HIRE G-Link,,,,PNK,,VSN Glasses,,,
18893,CloneX #18893,https://clonex-assets.rtfkt.com/images/18893.png,https://clonex-assets.rtfkt.com/18893,Robot,BLCK Unkept,BLCK Jellyfish Tee,SLVR G-Link,,MURAKAMI DRIP,MURAKAMI DRIP,,,,,,
18892,CloneX #18892,https://clonex-assets.rtfkt.com/images/18892.png,https://clonex-assets.rtfkt.com/18892,Angel,BLCK Spike,Job Tee,SLVR G-Link,,,,,,,SLVR Round,,
18891,CloneX #18891,https://clonex-assets.rtfkt.com/images/18891.png,https://clonex-assets.rtfkt.com/18891,Human,RD Long,V6 WHT SKL GRL,,,,,CLSD YLLW,HRUS TAT,,,,
18890,CloneX #18890,https://clonex-assets.rtfkt.com/images/18890.png,https://clonex-assets.rtfkt.com/18890,Demon,BLCK Curtains,CLNX Tee,,,,,,,,,,
18889,CloneX #18889,https://clonex-assets.rtfkt.com/images/18889.png,https://clonex-assets.rtfkt.com/18889,Robot,NEON Cap,WAGMI Tee,,RNBW GRILLZ,MK1,MK1,,,,,,
18888,CloneX #18888,https://clonex-assets.rtfkt.com/images/18888.png,https://clonex-assets.rtfkt.com/18888,Human,WHT Curtains,BLCK BNDN Shirt,,Angry,,,GRN,SWRD TAT,Aviator,,,
18887,CloneX #18887,https://clonex-assets.rtfkt.com/images/18887.png,https://clonex-assets.rtfkt.com/18887,Human,Bunny,Blade Melt Tee,,,STONED,STONED,PNK,,Drip Scouter,,Sword Sheath,
18886,CloneX #18886,https://clonex-assets.rtfkt.com/images/18886.png,https://clonex-assets.rtfkt.com/18886,Human,PURP Head Scarf,GRNDT Fur Coat,,,,,BRWN,,,,,
18885,CloneX #18885,https://clonex-assets.rtfkt.com/images/18885.png,https://clonex-assets.rtfkt.com/18885,Human,BRWN Buns,BRWN Fur Coat,,,MURAKAMI DRIP,MURAKAMI DRIP,BLCK Surprised,,Eye Patch,,GRN UNDRWRLD WINGZ,
18884,CloneX #18884,https://clonex-assets.rtfkt.com/images/18884.png,https://clonex-assets.rtfkt.com/18884,Robot,LLC Ponytail,WAGMI Tee,,,MK1,MK1,,,,,,
18883,CloneX #18883,,https://clonex-assets.rtfkt.com/18883,,,,,,,,,,,,,
18882,CloneX #18882,https://clonex-assets.rtfkt.com/images/18882.png,https://clonex-assets.rtfkt.com/18882,Robot,RD Hairclip,PNK Fur Coat,,,,,,,,,,
18881,CloneX #18881,,https://clonex-assets.rtfkt.com/18881,,,,,,,,,,,,,
18880,CloneX #18880,https://clonex-assets.rtfkt.com/images/18880.png,https://clonex-assets.rtfkt.com/18880,Angel,PURP Hacker,CLNX HOODIE,BLCK-RD ZK-BEADZ,,,,,,Drip Scouter,,,
18879,CloneX #18879,https://clonex-assets.rtfkt.com/images/18879.png,https://clonex-assets.rtfkt.com/18879,Human,MEDUZA,PNK ORNG Fur Coat,CYN Two Piece,Pilot Mask,,,PNK-BLU,,,,,
