TOKEN_ID,TOKEN_NAME,IMAGE,TOKEN_URI,Accessories,Body,Shirt,Accessories,Face,Facial Hair,Mouth,Nose,Eyes,Hair,Facial Features,Hat,Environment,Eyewear,Overlord
9984,Gray Boys #9984,ipfs://QmRoPsgjSnaSRVkqV5HBScKZ9NK7qQoW38KxFSS69PZB6X,https://api.grayboysnft.com/temporaryreveal/9984,Wrapped Scarf,Gray,Tank Top,Wrapped Scarf,Gray Head,Long Soul Patch,Basic Mouth,High Nose,Deep Blue Eyes,Party Hair,,,,,
9995,Gray Boys #9995,ipfs://QmYPuP9YGzmqE4RqhyJTafV1Tt6R7wgnXK5SvgtmmkmRj3,https://api.grayboysnft.com/temporaryreveal/9995,,Floating Head,,,Gray Head,,Little Smile,Red Nose,Spider Eyes,Orange Hair,,,,,
9982,Gray Boys #9982,ipfs://QmcCa7D6PG43tXw35ox2MWaMkZxCb87hifP22bQ3Dz46nB,https://api.grayboysnft.com/temporaryreveal/9982,Alien Earring,Gray,Blue Tiger Coat,Alien Earring,Gray Head,,Basic Mouth,Angled Nose,Radioactive Eyes,,Crying,Gray Boys Swag Hat,,,
9996,Gray Boys #9996,ipfs://QmZBzeWiPb7kELDeHzM1Ho1wx5ENqkTCeXwDjTg1wysjML,https://api.grayboysnft.com/temporaryreveal/9996,Skull Necklace,,Army Suit,Skull Necklace,Camo Mask,,Mehh Face,Skeleton Nose,Beach Eyes,,,Cobain Hat,,,
9997,Gray Boys #9997,ipfs://QmZAeMQjrXLveZWSJ7CBhcKery8W4NvjiqJeLi6y9UEHD1,https://api.grayboysnft.com/temporaryreveal/9997,Alien Earring,Dark,Tank Top,Alien Earring,Dark Head,,Shining Gold Teeth,Vampire NOse,Cat eyes,Old Fluffy Hair,Dirty Face,,,,
9993,Gray Boys #9993,ipfs://QmRVF9teoRnoGR3gtAXXwPUtokPVBMNE36NPNKVKwdTij4,https://api.grayboysnft.com/temporaryreveal/9993,Neck Tattoos,Blue,Gray Striped Shirt,Neck Tattoos,Blue Head,Mustache,Hmph,Gold Septum,Winking Right Eye,Long Black Hair,,,,,
9983,Gray Boys #9983,ipfs://QmNqdyDY9SsURo3B8CStJTKVXZ9p63R1CktkyZFFqEeDjW,https://api.grayboysnft.com/temporaryreveal/9983,Headphones,Mummy,,Headphones,Mummy head,,Basic Mouth,Ape Nose,Basic Eyes,,,,,,
9990,Gray Boys #9990,ipfs://QmVEPBcB3byiEs9Pitkrpbn6x6fvTuiyHt8HMDv6wBSL1F,https://api.grayboysnft.com/temporaryreveal/9990,Flower,Gray,Space Fighter Suit,Flower,Gray Head,Mustache,Basic Mouth,Angled Nose,Pointy Eyes,,,Bucket Hat,Vertical Dark Background,,
9989,Gray Boys #9989,ipfs://QmRbnKDMT9JRBzhXNeKTgYX2tZosc4ZEauNomTv53Bt7fE,https://api.grayboysnft.com/temporaryreveal/9989,Skull Necklace,Mummy,,Skull Necklace,Mummy head,,Duck Lips,Red Nose,Star Eyes,Shaggy Mop,,,,,
9979,Gray Boys #9979,ipfs://QmZNc5LhjrCd5qm3X5UUr8fdX6JdCf5uCyuPusL7QLw87M,https://api.grayboysnft.com/temporaryreveal/9979,Scarred,Leopard,Green Floral Shirt,Scarred,Leopard Head,Stubble,Frozen Lips,Angled Nose,Basic Eyes,Blading,Corpse Paint,,,,
