TOKEN_ID,TOKEN_NAME,IMAGE,TOKEN_URI,Eyes,Fur,Earring,Mouth,Background,Clothes,Hat,Name
12200,MutantApeYachtClub #12200,ipfs://QmNbCpNxvHJ2YFnEjyjGAz7pscRqhFv8DNs1rTjPjAUJpN,https://boredapeyachtclub.com/api/mutants/12200,M1 Angry,M1 Cream,M1 Cross,M1 Bored Unshaven,M1 Aquamarine,M1 Blue Dress,,
21578,MutantApeYachtClub #21578,ipfs://QmTfwV2Bc9MyRpRzWnt7zxzLA1my5PAuCATD417RyPboBh,https://boredapeyachtclub.com/api/mutants/21578,M1 Bored,M1 Golden Brown,,M1 Grin,M1 Purple,M1 Leather Punk Jacket,M1 Irish Boho,
20536,MutantApeYachtClub #20536,ipfs://QmfKv7YNcvPiiGZrRdnQvB9ZwszFVDd4naej4dzFbCJjsk,https://boredapeyachtclub.com/api/mutants/20536,M1 Coins,M1 Cream,,M1 Dumbfounded,M1 Aquamarine,M1 Prison Jumpsuit,,
20452,MutantApeYachtClub #20452,ipfs://QmVTWhGjXqz5mjef9aoLdDSJNZ3vD28mFfJWd3C4PahapX,https://boredapeyachtclub.com/api/mutants/20452,M1 Bloodshot,M1 Brown,,M1 Bored,M1 Army Green,M1 Smoking Jacket,M1 Faux Hawk,
24780,MutantApeYachtClub #24780,ipfs://QmW1q6nQzXp7xbBaA3y9GBgAiKzXmfeiM7H3bUp2b184F7,https://boredapeyachtclub.com/api/mutants/24780,M1 Sleepy,M1 Cream,,M1 Bored,M1 New Punk Blue,M1 Bandolier,,
30005,MutantApeYachtClub #30005,ipfs://QmcCMYfyDfTQs3ZFsu9rv436gJKskzu5uabKQJukZPzhEC,https://boredapeyachtclub.com/api/mutants/30005,,,,,,,,Mega Trippy
22399,MutantApeYachtClub #22399,ipfs://QmPzLkpsCzcHYq6erHY6yf64ZTfJyETQmmthGQPSf91WjF,https://boredapeyachtclub.com/api/mutants/22399,M2 X Eyes,M2 Red,M2 Gold Hoop,M2 Grin,M2 Army Green,M2 Caveman Pelt,M2 Fisherman's Hat,
22398,MutantApeYachtClub #22398,ipfs://QmZtEUWayoTQsRNKpsE97SnoPxCsznzHkUzi8cghCkaKk7,https://boredapeyachtclub.com/api/mutants/22398,M1 X Eyes,M1 Red,M1 Gold Hoop,M1 Grin,M1 Army Green,M1 Caveman Pelt,M1 Fisherman's Hat,
25145,MutantApeYachtClub #25145,ipfs://QmdB7SWmLgKhK5t3S7cG5K8MVLovELf2rLwK6dYUouz6h3,https://boredapeyachtclub.com/api/mutants/25145,M2 Sad,M2 White,,M2 Bored Unshaven Cigarette,M2 Aquamarine,M2 Sailor Shirt,M2 Sea Captain's Hat,
25144,MutantApeYachtClub #25144,ipfs://QmaDJmNfLqbVfLXeEyErXtoo5nmJTkgxMTrXxw3XNPknMg,https://boredapeyachtclub.com/api/mutants/25144,M1 Sad,M1 White,,M1 Bored Unshaven Cigarette,M1 Aquamarine,M1 Sailor Shirt,M1 Sea Captain's Hat,
20278,MutantApeYachtClub #20278,ipfs://QmcqYWDsGifDCE4hEcYESJ1At2MqwK1SiTfsEJG4YLNE8Y,https://boredapeyachtclub.com/api/mutants/20278,M1 Crazy,M1 Red,,M1 Jovial,M1 Gray,M1 Guayabera,,
19212,MutantApeYachtClub #19212,ipfs://QmTPMjp5h6TTL24wJpzaqdJFJXgTNHh1i7g2VpE59CBmMF,https://boredapeyachtclub.com/api/mutants/19212,M1 Sleepy,M1 Black,M1 Gold Hoop,M1 Tongue Out,M1 New Punk Blue,M1 Stunt Jacket,M1 Short Mohawk,
27766,MutantApeYachtClub #27766,ipfs://QmTFbwRX2uu4gPVXKYejnupKaDvHGEGH9HjDAes6TjRvpg,https://boredapeyachtclub.com/api/mutants/27766,M1 Wide Eyed,M1 Black,,M1 Tongue Out,M1 New Punk Blue,M1 Prom Dress,,
23842,MutantApeYachtClub #23842,ipfs://Qmef5Ryanfgtr54U3x3j3665E8Unawtusryz498WLHdK1c,https://boredapeyachtclub.com/api/mutants/23842,M1 Sunglasses,M1 Black,M1 Silver Stud,M1 Bored Cigarette,M1 New Punk Blue,M1 Hawaiian,,
24370,MutantApeYachtClub #24370,ipfs://Qmb8hWUYniWaSaWcRgTCYtAvSAekVxxdjGmpSg4tzJhMmM,https://boredapeyachtclub.com/api/mutants/24370,M1 Bored,M1 Cheetah,,M1 Bored,M1 Army Green,M1 Leather Jacket,M1 Bowler,
21880,MutantApeYachtClub #21880,ipfs://QmPbYbGKTCztUDQSatSyURCZLdGUeMdetndguUu87B4P6q,https://boredapeyachtclub.com/api/mutants/21880,M1 Wide Eyed,M1 Cheetah,,M1 Phoneme Oh,M1 Blue,M1 Cowboy Shirt,,
10866,MutantApeYachtClub #10866,ipfs://QmP23ZxZCjQWAYoQ4kWsr27ugsjHdTQLoiRcTMvrCkQnex,https://boredapeyachtclub.com/api/mutants/10866,M1 Bored,M1 Tan,,M1 Phoneme Oh,M1 New Punk Blue,M1 Lumberjack Shirt,M1 Party Hat 1,
18474,MutantApeYachtClub #18474,ipfs://Qmc9WXb2XGu6S8wAFb2s9sEr476PBHqSNNxbQtUXa9hjty,https://boredapeyachtclub.com/api/mutants/18474,M1 Cyborg,M1 Dark Brown,,M1 Bored Unshaven,M1 Aquamarine,M1 Hawaiian,M1 Girl's Hair Short,
13688,MutantApeYachtClub #13688,,https://boredapeyachtclub.com/api/mutants/13688,,,,,,,,
21180,MutantApeYachtClub #21180,,https://boredapeyachtclub.com/api/mutants/21180,,,,,,,,
10756,MutantApeYachtClub #10756,ipfs://QmSyJcaXW13aHYR2S8jQAaT7CrKvtzwj6UoyBjayirnMwh,https://boredapeyachtclub.com/api/mutants/10756,M1 Sleepy,M1 Dmt,M1 Gold Stud,M1 Bored Cigarette,M1 Orange,M1 Tuxedo Tee,M1 Irish Boho,
10467,MutantApeYachtClub #10467,ipfs://QmTLXiMVUYdSC3SKVPuQ2Xi8Gky3YBm6tGQJtWTn5QUaNt,https://boredapeyachtclub.com/api/mutants/10467,M2 Laser Eyes,M2 Blue,,M2 Bored Unshaven,M2 New Punk Blue,,M2 Girl's Hair Pink,
21420,MutantApeYachtClub #21420,ipfs://QmU36oaBYe5TU3JWJLcq1uovowQBmkbHzkRDJ4btdqTSbo,https://boredapeyachtclub.com/api/mutants/21420,M1 Sunglasses,M1 Golden Brown,M1 Diamond Stud,M1 Bored Unshaven Cigarette,M1 Purple,M1 Hawaiian,M1 Short Mohawk,
28619,MutantApeYachtClub #28619,ipfs://QmXisim2LAKHBrtunSYp4ad3V7KTS6RmDuvRBQuXZ8pwZj,https://boredapeyachtclub.com/api/mutants/28619,M2 Blindfold,M2 Blue,M2 Silver Stud,M2 Jovial,M2 Yellow,M2 Sleeveless Logo T,M2 Irish Boho,
28618,MutantApeYachtClub #28618,ipfs://QmRiSXwkim2SG2QjBpdqZouGdS95st5ZuFSGzBJmhkKBA7,https://boredapeyachtclub.com/api/mutants/28618,M1 Blindfold,M1 Blue,M1 Silver Stud,M1 Jovial,M1 Yellow,M1 Sleeveless Logo T,M1 Irish Boho,
